Altium Designer Pick and Place Locations
C:\projects\hcu_hardware\hardware\zeleno_hcucc_r1\.\REV1.2\Pick Place\Pick Place for hcucc_r1.2(NREL_Production).txt

========================================================================================================================
File Design Information:

Date:       29/07/24
Time:       01:19
Revision:   b1aa59978447bcba6e1cb286160fb2aa1bdb8dfd
Variant:    NREL_Production
Units used: mil

Designator Comment                  Layer       Footprint               Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                           
D9         D18V0L1B2LPQ-7B          TopLayer    DFN65P101X53-2N         246.063       255.905       0        "ESD Suppressors / TVS Diodes General 15kV Cont., 20kV Air, 20Vw Protection PP DFN1006-2"                                                             
C24        100n                     TopLayer    MURATA_0402             698.819       462.598       0        "Multilayer Ceramic Capacitors MLCC - SMD/SMT 0.1 uF 50 VDC 10% 0402 X7R AEC-Q200"                                                                    
C23        100n                     TopLayer    MURATA_0402             698.819       423.228       0        "Multilayer Ceramic Capacitors MLCC - SMD/SMT 0.1 uF 50 VDC 10% 0402 X7R AEC-Q200"                                                                    
C22        2.2u                     TopLayer    MURATA_0402             679.134       501.968       0        "Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 25VDC 2.2uF 10% X5R"                                                                               
C21        1u                       TopLayer    MURATA_0402             590.551       127.953       180      "Multilayer Ceramic Capacitors MLCC - SMD/SMT 1 uF 50 VDC 10% 0402 X5R"                                                                               
C20        10n                      TopLayer    MURATA_0201             30.118        255.905       180      "Multilayer Ceramic Capacitors MLCC - SMD/SMT 0.01 uF 25 VDC 10% 0201 X7R"                                                                            
U30        LSM6DSLTR                TopLayer    LSM6DSLTR               1692.913      895.669       180      "IMUs - Inertial Measurement Units CONSUMER MEMS"                                                                                                     
U29        LIS2MDLTR                TopLayer    PQFN50P200X200X70-12N   1840.157      895.669       0        "Magnetoresistive Sensor X, Y, Z Axis 12-LGA _2x2_"                                                                                                   
U17        M24C64-DRDW8TP_K         TopLayer    SOP65P640X120-8N        2125.984      334.646       0        "EEPROM 64-Kbit serial I2C bus EEPROM 105C operation, 200Yr retention, 1M Writes, 1.7-5.5V @2mA"                                                      
U15        W25Q32JVSSIQ             TopLayer    SOIC8-208mil            2165.354      137.795       180      "NOR Flash spiFlash, 32M-bit, 4Kb Uniform Sector, SOIC-8(208mil)"                                                                                     
U14        ATX-12-F-26.000MHz-F05-T TopLayer    TCXO_4_32x25            1869.832      124.662       0        "TCXO Oscillators TG2016SMN 48.0000M-MCGNNM0: TCXO 2.8V 3.3V 0.5PPM -40 85C NON O/E 1K TR"                                                            
U11        SKY13373-460LF           TopLayer    QFN50P200X200X60-13N-D  2175.197      559.449       270      "RF Switch ICs .1-6.0GHz SP3T IL .45dB @ 2.5GHz"                                                                                                      
U10        CC1352P74T0RGZR          TopLayer    QFN50P700X700X100-49N_1 1505.903      287.398       270      "RF Microcontrollers - MCU SimpleLink Arm Cortex -M4F multiprotocol sub-1 GHz and 2.4-GHz wireless MCU integrated power amp, 704KB flash, 144KB SRAM" 
U2         74HCT4053BQ_115          TopLayer    74HCT4053BQ115          639.764       620.079       270      "74HC4053 - Triple 2-channel analog multiplexer/demultiplexer@en-us"                                                                                  
U1         TPS629206DRLR            TopLayer    SOTFL50P160X60-8N       173.849       632.160       180      "Switching Voltage Regulators 3-V to 17-V, 0.6-A, low-IQ, synchronous buck converter in SOT-583 package 8-SOT-5X3 -40 to 150"                         
S2         PTS810SJM250SMTRLFS      TopLayer    PTS810SJG250SMTRLFS     649.606       905.512       90       "Tactile Switches SWITCH TACTILE"                                                                                                                     
S1         PTS810SJM250SMTRLFS      TopLayer    PTS810SJG250SMTRLFS     846.457       905.512       270      "Tactile Switches SWITCH TACTILE"                                                                                                                     
R99        10k                      TopLayer    PANASONIC_0402          1692.598      807.087       0        "Thick Film Resistors - SMD 1/16watt 10Kohms 1% Commercial Use"                                                                                       
R40        2.2k                     TopLayer    PANASONIC_0402          2322.520      275.591       180      "Thick Film Resistors - SMD 1/16watt 2.2Kohms 5% Commercial Use"                                                                                      
R39        2.2k                     TopLayer    PANASONIC_0402          2323.150      314.961       180      "Thick Film Resistors - SMD 1/16watt 2.2Kohms 5% Commercial Use"                                                                                      
R38        10k                      TopLayer    PANASONIC_0402          2323.150      354.331       180      "Thick Film Resistors - SMD 1/16watt 10Kohms 1% Commercial Use"                                                                                       
R37        10k                      TopLayer    PANASONIC_0402          2362.205      88.583        270      "Thick Film Resistors - SMD 1/16watt 10Kohms 1% Commercial Use"                                                                                       
